Alpha,Variant,Beta,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%)
0.850000000,UNW,,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,25.000000000,23.600000000,23.460000000,13.480000000,0.000000000,43.980000000,0.000000000
0.850000000,BW,,1.000000000,96.000000000,97.000000000,97.730000000,97.490000000,24.000000000,23.800000000,23.240000000,13.310000000,-1.000000000,44.120000000,0.140000000
0.850000000,BW_D,,1.000000000,96.000000000,97.000000000,97.730000000,97.490000000,24.000000000,23.800000000,23.240000000,13.310000000,-1.000000000,44.120000000,0.140000000
0.850000000,BW_D_L,,1.000000000,91.000000000,93.600000000,95.570000000,95.980000000,23.000000000,24.800000000,23.140000000,13.500000000,-2.000000000,43.840000000,-0.140000000
0.850000000,BW_D_L_T,,0.990000000,89.000000000,93.400000000,93.950000000,94.820000000,23.000000000,24.200000000,22.700000000,13.390000000,-2.000000000,43.930000000,-0.060000000
0.850000000,EXP_D,3.000000000,0.990000000,90.000000000,92.200000000,93.950000000,92.550000000,21.000000000,23.600000000,22.920000000,12.850000000,-4.000000000,44.320000000,0.330000000
0.850000000,EXP_D_L,3.000000000,0.990000000,83.000000000,90.000000000,92.000000000,91.940000000,23.000000000,23.000000000,22.810000000,13.260000000,-2.000000000,43.650000000,-0.330000000
0.850000000,EXP_D_L_T,3.000000000,0.990000000,83.000000000,88.800000000,91.030000000,91.340000000,22.000000000,23.000000000,22.270000000,13.370000000,-3.000000000,43.670000000,-0.320000000
0.850000000,EXP_D,5.000000000,0.990000000,87.000000000,90.600000000,91.780000000,90.780000000,21.000000000,24.000000000,22.700000000,12.770000000,-4.000000000,44.130000000,0.150000000
0.850000000,EXP_D_L,5.000000000,0.990000000,82.000000000,88.000000000,90.700000000,90.710000000,23.000000000,22.800000000,22.380000000,13.290000000,-2.000000000,43.580000000,-0.400000000
0.850000000,EXP_D_L_T,5.000000000,0.990000000,81.000000000,88.000000000,90.490000000,90.340000000,20.000000000,23.200000000,22.050000000,13.240000000,-5.000000000,43.610000000,-0.370000000
0.850000000,EXP_D,7.000000000,0.990000000,85.000000000,89.400000000,91.030000000,90.390000000,19.000000000,24.000000000,22.590000000,12.810000000,-6.000000000,44.010000000,0.020000000
0.850000000,EXP_D_L,7.000000000,0.990000000,81.000000000,87.800000000,90.050000000,90.060000000,23.000000000,23.000000000,22.050000000,13.330000000,-2.000000000,43.560000000,-0.430000000
0.850000000,EXP_D_L_T,7.000000000,0.990000000,81.000000000,87.800000000,89.950000000,89.930000000,20.000000000,23.400000000,21.950000000,13.180000000,-5.000000000,43.590000000,-0.400000000
0.850000000,EXP_D,9.000000000,0.990000000,85.000000000,88.800000000,90.270000000,89.800000000,19.000000000,23.800000000,22.490000000,12.770000000,-6.000000000,43.930000000,-0.050000000
0.850000000,EXP_D_L,9.000000000,0.990000000,80.000000000,87.400000000,89.510000000,89.670000000,22.000000000,23.000000000,21.950000000,13.330000000,-3.000000000,43.540000000,-0.440000000
0.850000000,EXP_D_L_T,9.000000000,0.990000000,81.000000000,87.200000000,89.510000000,89.500000000,20.000000000,23.000000000,21.950000000,13.220000000,-5.000000000,43.570000000,-0.410000000
0.990000000,UNW,,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,24.000000000,23.140000000,13.310000000,0.000000000,44.060000000,0.000000000
0.990000000,BW,,0.990000000,95.000000000,97.400000000,97.730000000,97.230000000,22.000000000,24.400000000,23.140000000,13.160000000,-1.000000000,44.210000000,0.150000000
0.990000000,BW_D,,0.990000000,95.000000000,97.400000000,97.730000000,97.230000000,22.000000000,24.400000000,23.140000000,13.160000000,-1.000000000,44.210000000,0.150000000
0.990000000,BW_D_L,,0.990000000,89.000000000,94.600000000,94.050000000,95.640000000,24.000000000,24.000000000,22.810000000,13.420000000,1.000000000,43.900000000,-0.160000000
0.990000000,BW_D_L_T,,0.990000000,87.000000000,93.800000000,93.300000000,94.340000000,22.000000000,23.800000000,22.700000000,13.240000000,-1.000000000,43.990000000,-0.070000000
0.990000000,EXP_D,3.000000000,0.980000000,88.000000000,91.600000000,92.540000000,91.990000000,22.000000000,23.200000000,22.590000000,12.620000000,-1.000000000,44.420000000,0.360000000
0.990000000,EXP_D_L,3.000000000,0.990000000,80.000000000,89.400000000,89.620000000,91.210000000,23.000000000,22.600000000,22.490000000,13.090000000,0.000000000,43.680000000,-0.380000000
0.990000000,EXP_D_L_T,3.000000000,0.990000000,80.000000000,87.800000000,88.540000000,90.390000000,22.000000000,22.600000000,22.160000000,13.070000000,-1.000000000,43.700000000,-0.360000000
0.990000000,EXP_D,5.000000000,0.980000000,84.000000000,89.800000000,89.950000000,90.280000000,19.000000000,23.200000000,22.490000000,12.660000000,-4.000000000,44.210000000,0.150000000
0.990000000,EXP_D_L,5.000000000,0.990000000,77.000000000,87.800000000,87.460000000,89.740000000,22.000000000,22.400000000,22.160000000,13.030000000,-1.000000000,43.610000000,-0.450000000
0.990000000,EXP_D_L_T,5.000000000,0.990000000,77.000000000,86.800000000,87.350000000,89.260000000,21.000000000,22.400000000,21.950000000,12.920000000,-2.000000000,43.640000000,-0.420000000
0.990000000,EXP_D,7.000000000,0.990000000,82.000000000,88.600000000,88.970000000,89.500000000,20.000000000,23.000000000,22.380000000,12.570000000,-3.000000000,44.070000000,0.010000000
0.990000000,EXP_D_L,7.000000000,0.990000000,76.000000000,87.000000000,86.380000000,89.030000000,22.000000000,22.600000000,21.840000000,12.980000000,-1.000000000,43.580000000,-0.480000000
0.990000000,EXP_D_L_T,7.000000000,0.990000000,76.000000000,86.800000000,86.590000000,88.850000000,21.000000000,22.400000000,21.840000000,12.900000000,-2.000000000,43.610000000,-0.450000000
0.990000000,EXP_D,9.000000000,0.990000000,80.000000000,87.800000000,87.780000000,88.810000000,19.000000000,22.600000000,22.380000000,12.590000000,-4.000000000,43.980000000,-0.080000000
0.990000000,EXP_D_L,9.000000000,0.990000000,76.000000000,86.400000000,86.270000000,88.570000000,22.000000000,22.800000000,21.840000000,13.050000000,-1.000000000,43.560000000,-0.500000000
0.990000000,EXP_D_L_T,9.000000000,0.990000000,74.000000000,86.600000000,86.490000000,88.420000000,20.000000000,22.400000000,21.840000000,12.920000000,-3.000000000,43.590000000,-0.470000000
0.500000000,UNW,,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,25.000000000,23.400000000,24.000000000,13.910000000,0.000000000,43.760000000,0.000000000
0.500000000,BW,,1.000000000,99.000000000,97.600000000,98.050000000,97.970000000,25.000000000,23.600000000,23.890000000,13.760000000,0.000000000,43.860000000,0.100000000
0.500000000,BW_D,,1.000000000,99.000000000,97.600000000,98.050000000,97.970000000,25.000000000,23.600000000,23.890000000,13.760000000,0.000000000,43.860000000,0.100000000
0.500000000,BW_D_L,,1.000000000,96.000000000,96.800000000,96.760000000,96.910000000,25.000000000,23.800000000,23.570000000,13.830000000,0.000000000,43.670000000,-0.080000000
0.500000000,BW_D_L_T,,1.000000000,96.000000000,96.000000000,96.000000000,96.110000000,25.000000000,23.600000000,23.680000000,13.650000000,0.000000000,43.750000000,-0.010000000
0.500000000,EXP_D,3.000000000,0.990000000,98.000000000,95.600000000,95.680000000,94.920000000,26.000000000,23.400000000,23.570000000,13.630000000,1.000000000,44.030000000,0.270000000
0.500000000,EXP_D_L,3.000000000,1.000000000,94.000000000,94.000000000,94.160000000,94.100000000,26.000000000,23.400000000,23.350000000,13.700000000,1.000000000,43.560000000,-0.200000000
0.500000000,EXP_D_L_T,3.000000000,1.000000000,91.000000000,93.200000000,93.730000000,93.580000000,27.000000000,23.400000000,23.140000000,13.670000000,2.000000000,43.580000000,-0.180000000
0.500000000,EXP_D,5.000000000,0.990000000,95.000000000,93.600000000,93.840000000,93.580000000,26.000000000,23.400000000,23.680000000,13.500000000,1.000000000,43.910000000,0.150000000
0.500000000,EXP_D_L,5.000000000,1.000000000,91.000000000,92.800000000,93.300000000,93.320000000,26.000000000,23.200000000,23.460000000,13.630000000,1.000000000,43.520000000,-0.230000000
0.500000000,EXP_D_L_T,5.000000000,1.000000000,90.000000000,92.200000000,92.970000000,92.830000000,26.000000000,23.200000000,23.140000000,13.590000000,1.000000000,43.540000000,-0.210000000
0.500000000,EXP_D,7.000000000,0.990000000,95.000000000,91.400000000,93.300000000,93.110000000,26.000000000,23.400000000,23.570000000,13.480000000,1.000000000,43.820000000,0.060000000
0.500000000,EXP_D_L,7.000000000,1.000000000,90.000000000,91.400000000,92.970000000,92.890000000,26.000000000,23.400000000,23.350000000,13.650000000,1.000000000,43.510000000,-0.250000000
0.500000000,EXP_D_L_T,7.000000000,1.000000000,90.000000000,91.200000000,92.760000000,92.630000000,26.000000000,23.400000000,23.140000000,13.550000000,1.000000000,43.530000000,-0.230000000
0.500000000,EXP_D,9.000000000,0.990000000,94.000000000,91.400000000,92.860000000,92.760000000,25.000000000,23.600000000,23.460000000,13.520000000,0.000000000,43.770000000,0.010000000
0.500000000,EXP_D_L,9.000000000,1.000000000,89.000000000,91.200000000,92.540000000,92.630000000,26.000000000,23.400000000,23.350000000,13.610000000,1.000000000,43.500000000,-0.260000000
0.500000000,EXP_D_L_T,9.000000000,1.000000000,89.000000000,90.600000000,92.650000000,92.310000000,25.000000000,23.200000000,23.140000000,13.550000000,0.000000000,43.520000000,-0.230000000
