Alpha,Alpha base,Variant,Beta,VS,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%)
0.850000000,0.850000000,UNW,,UNW @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,25.000000000,23.600000000,23.460000000,13.480000000,0.000000000,43.980000000,0.000000000
0.850000000,0.850000000,BW,,BW @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,24.000000000,23.800000000,23.240000000,13.310000000,0.000000000,44.120000000,0.000000000
0.850000000,0.850000000,BW_D,,BW_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,24.000000000,23.800000000,23.240000000,13.310000000,0.000000000,44.120000000,0.000000000
0.850000000,0.850000000,BW_D_L,,BW_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,24.800000000,23.140000000,13.500000000,0.000000000,43.840000000,0.000000000
0.850000000,0.850000000,BW_D_L_T,,BW_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,24.200000000,22.700000000,13.390000000,0.000000000,43.930000000,0.000000000
0.850000000,0.850000000,EXP_D,3.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,21.000000000,23.600000000,22.920000000,12.850000000,0.000000000,44.320000000,-0.000000000
0.850000000,0.850000000,EXP_D_L,3.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,23.000000000,22.810000000,13.260000000,0.000000000,43.650000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,3.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,22.000000000,23.000000000,22.270000000,13.370000000,0.000000000,43.670000000,-0.000000000
0.850000000,0.850000000,EXP_D,5.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,21.000000000,24.000000000,22.700000000,12.770000000,0.000000000,44.130000000,0.000000000
0.850000000,0.850000000,EXP_D_L,5.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,22.800000000,22.380000000,13.290000000,0.000000000,43.580000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,5.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.200000000,22.050000000,13.240000000,0.000000000,43.610000000,0.000000000
0.850000000,0.850000000,EXP_D,7.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,19.000000000,24.000000000,22.590000000,12.810000000,0.000000000,44.010000000,0.000000000
0.850000000,0.850000000,EXP_D_L,7.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,23.000000000,23.000000000,22.050000000,13.330000000,0.000000000,43.560000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,7.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.400000000,21.950000000,13.180000000,0.000000000,43.590000000,-0.000000000
0.850000000,0.850000000,EXP_D,9.000000000,EXP_D @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,19.000000000,23.800000000,22.490000000,12.770000000,0.000000000,43.930000000,0.000000000
0.850000000,0.850000000,EXP_D_L,9.000000000,EXP_D_L @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,22.000000000,23.000000000,21.950000000,13.330000000,0.000000000,43.540000000,0.000000000
0.850000000,0.850000000,EXP_D_L_T,9.000000000,EXP_D_L_T @ α=0.85,1.000000000,100.000000000,100.000000000,100.000000000,100.000000000,20.000000000,23.000000000,21.950000000,13.220000000,0.000000000,43.570000000,0.000000000
0.990000000,0.850000000,UNW,,UNW @ α=0.85,1.000000000,95.000000000,96.000000000,98.490000000,99.330000000,23.000000000,24.000000000,23.140000000,13.310000000,-2.000000000,44.060000000,0.080000000
0.990000000,0.850000000,BW,,BW @ α=0.85,1.000000000,95.000000000,96.200000000,98.810000000,99.070000000,22.000000000,24.400000000,23.140000000,13.160000000,-2.000000000,44.210000000,0.090000000
0.990000000,0.850000000,BW_D,,BW_D @ α=0.85,1.000000000,95.000000000,96.200000000,98.810000000,99.070000000,22.000000000,24.400000000,23.140000000,13.160000000,-2.000000000,44.210000000,0.090000000
0.990000000,0.850000000,BW_D_L,,BW_D_L @ α=0.85,1.000000000,98.000000000,98.200000000,97.620000000,99.240000000,24.000000000,24.000000000,22.810000000,13.420000000,1.000000000,43.900000000,0.060000000
0.990000000,0.850000000,BW_D_L_T,,BW_D_L_T @ α=0.85,1.000000000,97.000000000,98.000000000,97.950000000,99.070000000,22.000000000,23.800000000,22.700000000,13.240000000,-1.000000000,43.990000000,0.070000000
0.990000000,0.850000000,EXP_D,3.000000000,EXP_D @ α=0.85,1.000000000,94.000000000,98.400000000,97.620000000,99.350000000,22.000000000,23.200000000,22.590000000,12.620000000,1.000000000,44.420000000,0.100000000
0.990000000,0.850000000,EXP_D_L,3.000000000,EXP_D_L @ α=0.85,1.000000000,96.000000000,98.400000000,96.650000000,98.770000000,23.000000000,22.600000000,22.490000000,13.090000000,0.000000000,43.680000000,0.030000000
0.990000000,0.850000000,EXP_D_L_T,3.000000000,EXP_D_L_T @ α=0.85,1.000000000,95.000000000,98.000000000,96.430000000,98.750000000,22.000000000,22.600000000,22.160000000,13.070000000,0.000000000,43.700000000,0.030000000
0.990000000,0.850000000,EXP_D,5.000000000,EXP_D @ α=0.85,1.000000000,90.000000000,98.000000000,96.760000000,99.330000000,19.000000000,23.200000000,22.490000000,12.660000000,-2.000000000,44.210000000,0.080000000
0.990000000,0.850000000,EXP_D_L,5.000000000,EXP_D_L @ α=0.85,1.000000000,94.000000000,98.200000000,96.000000000,98.810000000,22.000000000,22.400000000,22.160000000,13.030000000,-1.000000000,43.610000000,0.020000000
0.990000000,0.850000000,EXP_D_L_T,5.000000000,EXP_D_L_T @ α=0.85,1.000000000,95.000000000,97.600000000,96.320000000,98.640000000,21.000000000,22.400000000,21.950000000,12.920000000,1.000000000,43.640000000,0.020000000
0.990000000,0.850000000,EXP_D,7.000000000,EXP_D @ α=0.85,1.000000000,90.000000000,98.000000000,96.860000000,98.980000000,20.000000000,23.000000000,22.380000000,12.570000000,1.000000000,44.070000000,0.060000000
0.990000000,0.850000000,EXP_D_L,7.000000000,EXP_D_L @ α=0.85,1.000000000,94.000000000,97.800000000,95.680000000,98.620000000,22.000000000,22.600000000,21.840000000,12.980000000,-1.000000000,43.580000000,0.020000000
0.990000000,0.850000000,EXP_D_L_T,7.000000000,EXP_D_L_T @ α=0.85,1.000000000,95.000000000,98.000000000,96.320000000,98.660000000,21.000000000,22.400000000,21.840000000,12.900000000,1.000000000,43.610000000,0.020000000
0.990000000,0.850000000,EXP_D,9.000000000,EXP_D @ α=0.85,1.000000000,90.000000000,97.800000000,96.540000000,98.900000000,19.000000000,22.600000000,22.380000000,12.590000000,0.000000000,43.980000000,0.050000000
0.990000000,0.850000000,EXP_D_L,9.000000000,EXP_D_L @ α=0.85,1.000000000,96.000000000,98.000000000,96.110000000,98.660000000,22.000000000,22.800000000,21.840000000,13.050000000,0.000000000,43.560000000,0.020000000
0.990000000,0.850000000,EXP_D_L_T,9.000000000,EXP_D_L_T @ α=0.85,1.000000000,93.000000000,98.200000000,96.540000000,98.640000000,20.000000000,22.400000000,21.840000000,12.920000000,0.000000000,43.590000000,0.020000000
0.500000000,0.850000000,UNW,,UNW @ α=0.85,1.000000000,90.000000000,92.200000000,95.140000000,96.890000000,25.000000000,23.400000000,24.000000000,13.910000000,0.000000000,43.760000000,-0.230000000
0.500000000,0.850000000,BW,,BW @ α=0.85,1.000000000,88.000000000,93.600000000,94.810000000,97.470000000,25.000000000,23.600000000,23.890000000,13.760000000,1.000000000,43.860000000,-0.260000000
0.500000000,0.850000000,BW_D,,BW_D @ α=0.85,1.000000000,88.000000000,93.600000000,94.810000000,97.470000000,25.000000000,23.600000000,23.890000000,13.760000000,1.000000000,43.860000000,-0.260000000
0.500000000,0.850000000,BW_D_L,,BW_D_L @ α=0.85,1.000000000,90.000000000,91.600000000,95.680000000,97.260000000,25.000000000,23.800000000,23.570000000,13.830000000,2.000000000,43.670000000,-0.170000000
0.500000000,0.850000000,BW_D_L_T,,BW_D_L_T @ α=0.85,1.000000000,87.000000000,91.600000000,95.240000000,97.190000000,25.000000000,23.600000000,23.680000000,13.650000000,2.000000000,43.750000000,-0.180000000
0.500000000,0.850000000,EXP_D,3.000000000,EXP_D @ α=0.85,1.000000000,85.000000000,90.400000000,94.380000000,96.630000000,26.000000000,23.400000000,23.570000000,13.630000000,5.000000000,44.030000000,-0.290000000
0.500000000,0.850000000,EXP_D_L,3.000000000,EXP_D_L @ α=0.85,1.000000000,86.000000000,92.400000000,95.240000000,96.520000000,26.000000000,23.400000000,23.350000000,13.700000000,3.000000000,43.560000000,-0.090000000
0.500000000,0.850000000,EXP_D_L_T,3.000000000,EXP_D_L_T @ α=0.85,1.000000000,89.000000000,91.600000000,95.030000000,96.650000000,27.000000000,23.400000000,23.140000000,13.670000000,5.000000000,43.580000000,-0.090000000
0.500000000,0.850000000,EXP_D,5.000000000,EXP_D @ α=0.85,1.000000000,87.000000000,91.400000000,95.240000000,96.520000000,26.000000000,23.400000000,23.680000000,13.500000000,5.000000000,43.910000000,-0.230000000
0.500000000,0.850000000,EXP_D_L,5.000000000,EXP_D_L @ α=0.85,1.000000000,88.000000000,92.200000000,94.810000000,96.870000000,26.000000000,23.200000000,23.460000000,13.630000000,3.000000000,43.520000000,-0.060000000
0.500000000,0.850000000,EXP_D_L_T,5.000000000,EXP_D_L_T @ α=0.85,1.000000000,88.000000000,92.200000000,95.240000000,96.670000000,26.000000000,23.200000000,23.140000000,13.590000000,6.000000000,43.540000000,-0.070000000
0.500000000,0.850000000,EXP_D,7.000000000,EXP_D @ α=0.85,1.000000000,86.000000000,92.400000000,95.140000000,96.780000000,26.000000000,23.400000000,23.570000000,13.480000000,7.000000000,43.820000000,-0.190000000
0.500000000,0.850000000,EXP_D_L,7.000000000,EXP_D_L @ α=0.85,1.000000000,89.000000000,93.400000000,94.490000000,96.590000000,26.000000000,23.400000000,23.350000000,13.650000000,3.000000000,43.510000000,-0.050000000
0.500000000,0.850000000,EXP_D_L_T,7.000000000,EXP_D_L_T @ α=0.85,1.000000000,88.000000000,93.000000000,94.590000000,96.410000000,26.000000000,23.400000000,23.140000000,13.550000000,6.000000000,43.530000000,-0.060000000
0.500000000,0.850000000,EXP_D,9.000000000,EXP_D @ α=0.85,1.000000000,87.000000000,92.200000000,95.030000000,96.670000000,25.000000000,23.600000000,23.460000000,13.520000000,6.000000000,43.770000000,-0.160000000
0.500000000,0.850000000,EXP_D_L,9.000000000,EXP_D_L @ α=0.85,1.000000000,89.000000000,92.800000000,94.270000000,96.540000000,26.000000000,23.400000000,23.350000000,13.610000000,4.000000000,43.500000000,-0.050000000
0.500000000,0.850000000,EXP_D_L_T,9.000000000,EXP_D_L_T @ α=0.85,1.000000000,89.000000000,93.000000000,94.590000000,96.610000000,25.000000000,23.200000000,23.140000000,13.550000000,5.000000000,43.520000000,-0.050000000
